r theta n
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
3.86667 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
1.93333 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
2.38419e-07 180 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
1.93333 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
3.86667 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
5.8 0 50000
