voxelID mppcID probability
35 11 0.0001868
35 12 0.0001852
35 13 0.0001848
35 14 0.0002156
35 15 0.0002696
35 16 0.0003204
36 1 0.0004244
36 2 0.0004588
36 3 0.0003332
36 4 0.0002608
36 5 0.0002064
36 6 0.0001948
36 7 0.0001756
36 8 0.0001824
36 9 0.0001872
36 10 0.0001836
36 11 0.0001936
36 12 0.0001872
36 13 0.0001992
36 14 0.0002228
36 15 0.0002604
36 16 0.0003572
37 1 0.0005312
37 2 0.0004912
37 3 0.0003456
37 4 0.0002496
37 5 0.0002044
37 6 0.0001784
37 7 0.0001944
37 8 0.0001844
37 9 0.0001964
37 10 0.0002004
37 11 0.0001964
37 12 0.0001872
37 13 0.0001832
37 14 0.0002336
37 15 0.0002696
37 16 0.00039
38 1 0.0005844
38 2 0.0005388
38 3 0.0003592
38 4 0.0002584
38 5 0.0002096
38 6 0.000202
38 7 0.0002184
38 8 0.0002032
38 9 0.0001984
38 10 0.0002272
38 11 0.0002256
38 12 0.0002204
38 13 0.000194
38 14 0.0002376
38 15 0.0002952
38 16 0.0004172
39 1 0.0007764
39 2 0.000622
39 3 0.000382
39 4 0.0002676
39 5 0.0002404
39 6 0.0002592
39 7 0.0002832
39 8 0.0002776
39 9 0.0002844
39 10 0.0002772
39 11 0.000298
39 12 0.0002752
39 13 0.0002316
39 14 0.0002504
39 15 0.0003132
39 16 0.0004644
40 1 0.0009764
40 2 0.0007144
40 3 0.0003856
40 4 0.0002928
40 5 0.000286
40 6 0.0003344
40 7 0.0003652
40 8 0.0003856
40 9 0.0003304
40 10 0.0003556
40 11 0.0003908
40 12 0.0003572
40 13 0.0003192
40 14 0.0003
40 15 0.0003316
40 16 0.0005048
41 1 0.0013204
41 2 0.0007512
41 3 0.0004364
41 4 0.000344
41 5 0.0003568
41 6 0.0004548
41 7 0.0004624
41 8 0.0004552
41 9 0.0004528
41 10 0.0004564
41 11 0.0004676
41 12 0.0004524
41 13 0.0004196
41 14 0.0003708
41 15 0.0003728
41 16 0.000528
42 1 0.0017948
42 2 0.0007356
42 3 0.0004264
42 4 0.0004144
42 5 0.0005176
42 6 0.0005736
42 7 0.0005616
42 8 0.0005724
42 9 0.000554
42 10 0.0005712
42 11 0.0005132
42 12 0.0005664
42 13 0.0005252
42 14 0.0004508
42 15 0.000406
42 16 0.0005028
43 1 0.0025828
43 2 0.0006448
43 3 0.000496
43 4 0.00059
43 5 0.0006616
43 6 0.00065
43 7 0.0006036
43 8 0.00062
43 9 0.0006932
43 10 0.0006328
43 11 0.0006368
43 12 0.0006688
43 13 0.0006828
43 14 0.0005988
43 15 0.0004944
43 16 0.0005172
44 1 0.002394
44 2 0.0006024
44 3 0.0006468
44 4 0.0007176
44 5 0.00077
44 6 0.000696
44 7 0.0006916
44 8 0.0007212
44 9 0.0007376
44 10 0.0007152
44 11 0.000714
44 12 0.0006984
44 13 0.000722
44 14 0.0007612
44 15 0.0006516
44 16 0.0005764
45 1 0.0002192
45 2 0.0002268
45 3 0.0002188
45 4 0.0002464
45 5 0.0002392
45 6 0.0002792
45 7 0.0002588
45 8 0.0002504
45 9 0.0002412
45 10 0.000246
45 11 0.000222
45 12 0.0002132
45 13 0.0002068
45 14 0.0002032
45 15 0.00021
45 16 0.000218
46 1 0.00019
46 2 0.0002084
46 3 0.0002092
46 4 0.0002244
46 5 0.000228
46 6 0.0002712
46 7 0.000282
46 8 0.0002624
46 9 0.0002672
46 10 0.0002664
46 11 0.0002408
46 12 0.0002112
46 13 0.0002324
46 14 0.000212
46 15 0.0001924
46 16 0.0002172
47 1 0.0001928
47 2 0.0001912
47 3 0.0002092
47 4 0.0002308
47 5 0.0002152
47 6 0.0002744
47 7 0.0003044
47 8 0.0003108
47 9 0.0003088
47 10 0.0002888
47 11 0.0002432
47 12 0.0002188
47 13 0.0002016
47 14 0.0001948
47 15 0.0001836
47 16 0.0001972
48 1 0.0001832
48 2 0.0001868
48 3 0.0001804
